Verein;Name;Pos;Spec;PosSpec;Age;Age group;cm;kg;BMI;BMI Zone;Apps;Rt;Tackle;I;F;OW;Clr;Drb;BS;OG;G;A;SpG;KP;Drb;F;Off;Dis;Trn;A;KP;Avg P;PS%;C;LB;TB
Frankfurt;Kevin Trapp;GK;;GK;23;bis 26;189;83;23.2356317;normal;26;6.85;-;-;-;-;0.8;-;-;-;-;-;-;-;-;0.3;-;-;-;-;-;23.3;59;-;6.4;-
Gladbach;Martin Stranzl;D;R;D(R);33;bis 35;190;83;22.99168975;normal;26;7.26;2.5;1.6;0.9;1.1;7.8;1;0.6;-;5;-;0.7;0.1;0.1;1.1;0.2;0.2;0.1;-;0.1;42.1;83.7;-;2.8;-
Hamburg;Rafael van der Vaart;AM;C;AM(C);30;bis 30;176;74;23.88946281;normal;27;7.15;1.3;1;2;-;0.2;1.3;0.1;-;5;9;2.2;2.3;0.8;2.1;0.3;1.9;0.9;9;2.3;42.6;79.3;1.4;3.7;0.2
Stuttgart;Gotoku Sakai;D;L;D(L);22;bis 26;176;74;23.88946281;normal;27;7.03;2.7;3.6;0.7;0.4;3.1;1.4;0.3;1;-;-;0.1;0.7;0.9;1;-;0.8;0.9;-;0.7;42.6;77.9;0.9;2.3;-
Hamburg;Rafael van der Vaart;AM;C;AM(C);30;bis 30;176;74;23.88946281;normal;27;7.15;1.3;1;2;-;0.2;1.3;0.1;-;5;9;2.2;2.3;0.8;2.1;0.3;1.9;0.9;9;2.3;42.6;79.3;1.4;3.7;0.2
Hamburg;Rafael van der Vaart;AM;L;AM(L);30;bis 30;176;74;23.88946281;normal;27;7.15;1.3;1;2;-;0.2;1.3;0.1;-;5;9;2.2;2.3;0.8;2.1;0.3;1.9;0.9;9;2.3;42.6;79.3;1.4;3.7;0.2
Stuttgart;Gotoku Sakai;D;R;D(R);22;bis 26;176;74;23.88946281;normal;27;7.03;2.7;3.6;0.7;0.4;3.1;1.4;0.3;1;-;-;0.1;0.7;0.9;1;-;0.8;0.9;-;0.7;42.6;77.9;0.9;2.3;-
Hamburg;Rafael van der Vaart;AM;R;AM(R);30;bis 30;176;74;23.88946281;normal;27;7.15;1.3;1;2;-;0.2;1.3;0.1;-;5;9;2.2;2.3;0.8;2.1;0.3;1.9;0.9;9;2.3;42.6;79.3;1.4;3.7;0.2
Dortmund;Mats Hummels;D;C;D(C);24;bis 26;192;90;24.4140625;normal;28;7.39;3.2;2.8;0.8;1;5;1;0.4;-;1;3;1;0.5;0.7;1.1;0.1;0.3;0.5;3;0.5;53.5;83;-;5.7;0.1
Frankfurt;Anderson;D;C;D(C);25;bis 26;188;80;22.63467632;normal;28;7.09;1.5;2.5;0.8;1;6.6;0.4;0.5;-;1;2;0.3;0.1;0.5;0.7;0.1;0.3;0.2;2;0.1;44.5;85.6;-;5.6;-
Hamburg;Marcell Jansen;D;L;D(L);27;bis 30;191;89;24.39626107;normal;28;7.25;2.6;2.3;1.8;0.3;2.2;0.8;0.4;-;1;2;1.2;0.9;1.4;0.6;0.1;1.2;0.6;2;0.9;29.9;65.8;0.9;1.2;-
Dortmund;Mats Hummels;DM;C;DM(C);24;bis 26;192;90;24.4140625;normal;28;7.39;3.2;2.8;0.8;1;5;1;0.4;-;1;3;1;0.5;0.7;1.1;0.1;0.3;0.5;3;0.5;53.5;83;-;5.7;0.1
Hamburg;Marcell Jansen;M;L;M(L);27;bis 30;191;89;24.39626107;normal;28;7.25;2.6;2.3;1.8;0.3;2.2;0.8;0.4;-;1;2;1.2;0.9;1.4;0.6;0.1;1.2;0.6;2;0.9;29.9;65.8;0.9;1.2;-
Bremen;Sokratis;D;C;D(C);25;bis 26;185;82;23.95909423;normal;29;7.37;3.5;2.4;1.8;1.6;6.2;1;0.4;-;1;-;0.8;0.2;1;1.8;-;0.5;0.3;-;0.2;38.9;79.1;0.1;4.3;0.1
Düsseldorf;Adam Bodzek;D;C;D(C);27;bis 30;184;79;23.33412098;normal;29;6.93;3.7;2.7;2.2;0.2;2.2;2.2;0.4;-;2;1;0.6;0.2;0.3;1.7;-;0.6;0.5;1;0.2;37.9;82.3;-;3.7;-
Leverkusen;Stefan Reinartz;D;C;D(C);24;bis 26;189;83;23.2356317;normal;29;7.15;2.5;3.4;1.5;-;2;1;0.3;-;3;1;0.5;0.8;0.4;0.3;-;0.9;0.5;1;0.8;48;84.1;-;4.6;0.1
Bayern;Dante;D;C;D(C);29;bis 30;188;87;24.6152105;normal;29;7.15;1.8;1.2;1.2;0.5;2.9;0.3;0.8;-;1;1;0.6;0.1;0.3;0.7;-;0.3;0.2;1;0.1;66.4;90.6;-;8.3;-
Nürnberg;Per Nilsson;D;C;D(C);30;bis 30;190;87;24.09972299;normal;29;6.98;2;1.9;1.3;0.6;5.7;0.2;0.4;-;6;-;0.8;0.1;0.1;0.4;-;0.1;0.2;-;0.1;38.6;79.2;-;5.7;-
Dortmund;Marcel Schmelzer;D;L;D(L);25;bis 26;181;74;22.58783309;normal;29;7.02;2.4;1.9;1.3;0.3;3.1;0.9;0.3;-;-;1;0.9;1.3;0.3;1.3;0.1;0.9;0.4;1;1.3;37.3;75.6;1;1.9;-
Düsseldorf;Adam Bodzek;DM;C;DM(C);27;bis 30;184;79;23.33412098;normal;29;6.93;3.7;2.7;2.2;0.2;2.2;2.2;0.4;-;2;1;0.6;0.2;0.3;1.7;-;0.6;0.5;1;0.2;37.9;82.3;-;3.7;-
Leverkusen;Stefan Reinartz;DM;C;DM(C);24;bis 26;189;83;23.2356317;normal;29;7.15;2.5;3.4;1.5;-;2;1;0.3;-;3;1;0.5;0.8;0.4;0.3;-;0.9;0.5;1;0.8;48;84.1;-;4.6;0.1
Bremen;Sokratis;D;R;D(R);25;bis 26;185;82;23.95909423;normal;29;7.37;3.5;2.4;1.8;1.6;6.2;1;0.4;-;1;-;0.8;0.2;1;1.8;-;0.5;0.3;-;0.2;38.9;79.1;0.1;4.3;0.1
Gladbach;Álvaro Domínguez;D;C;D(C);24;bis 26;189;83;23.2356317;normal;30;6.95;1;1.7;1.2;1;7.1;0.4;0.9;1;2;-;0.4;0.1;-;0.9;0.1;0.1;0.1;-;0.1;56.1;84.4;-;4.8;-
Frankfurt;Carlos Zambrano;D;C;D(C);24;bis 26;185;78;22.79035793;normal;30;7.03;2.4;2.3;1.7;1.2;5.9;0.9;0.5;-;-;-;0.1;0.2;0.4;2.4;-;0.3;0.3;-;0.2;44.2;82.5;-;5.6;0.1
Fürth;Stephan Fürstner;DM;C;DM(C);25;bis 26;178;71;22.40878677;normal;30;6.71;3.1;2.6;2.2;-;1.5;2.3;0.4;-;1;-;0.3;0.7;0.4;1.3;-;0.7;0.5;-;0.7;36.4;76.7;0.2;4.1;-
Stuttgart;Vedad Ibisevic;FW;;FW;28;bis 30;188;82;23.20054323;normal;30;6.85;0.5;0.4;2.3;-;1.2;0.7;0.1;-;15;3;2.2;1;0.6;2.3;0.9;2.4;2.2;3;1;19.7;64.7;-;1.1;0.1
Gladbach;Álvaro Domínguez;D;L;D(L);24;bis 26;189;83;23.2356317;normal;30;6.95;1;1.7;1.2;1;7.1;0.4;0.9;1;2;-;0.4;0.1;-;0.9;0.1;0.1;0.1;-;0.1;56.1;84.4;-;4.8;-
Gladbach;Juan Arango;AM;L;AM(L);33;bis 35;180;76;23.45679012;normal;31;7.36;1.5;1.6;0.7;-;0.9;1.5;0.1;-;5;7;2.2;1.7;1.3;2;0.2;1.4;0.9;7;1.7;44.4;69.2;1;2.2;0.3
Wolfsburg;Naldo;D;C;D(C);30;bis 30;198;89;22.70176513;normal;31;7.4;2.5;3.4;1.3;1;6.1;0.9;0.6;-;6;-;1.2;0.1;0.7;0.9;0.1;0.5;0.2;-;0.1;43.6;80.2;-;4.2;-
Leverkusen;Philipp Wollscheid;D;C;D(C);24;bis 26;194;88;23.38186842;normal;31;7.2;2;1.7;1.2;0.8;7.8;0.5;0.7;1;2;-;0.7;0.1;0.2;0.9;-;0.2;0.2;-;0.1;49.2;86.3;-;6.9;-
Hoffenheim;Andreas Beck;D;R;D(R);26;bis 30;180;75;23.14814815;normal;31;6.81;2.6;2;1.5;0.4;2.1;0.9;0.3;-;1;2;0.5;0.6;0.5;2.7;-;1.1;0.4;2;0.6;38.4;76;0.8;1.9;-
Gladbach;Tony Jantschke;D;R;D(R);23;bis 26;177;74;23.62028791;normal;31;6.98;3.7;2.1;1.2;0.5;3.5;1.2;0.5;-;1;1;0.2;0.3;0.5;1.5;-;0.9;0.3;1;0.3;43.1;79.3;0.1;2.4;-
Freiburg;Julian Schuster;DM;C;DM(C);28;bis 30;190;78;21.6066482;normal;31;6.88;2.4;2.6;2.1;0.2;1.1;1.5;0.2;1;1;3;1.1;1;0.4;1.4;-;1.2;0.6;3;1;63;82.7;0.4;4;-
Schalke;Roman Neustädter;DM;C;DM(C);25;bis 26;190;83;22.99168975;normal;31;7.19;3.2;3.2;1.3;-;1.3;1.5;0.3;-;3;2;0.8;0.8;0.5;0.9;-;0.9;0.4;2;0.8;56.8;82.8;-;4.8;0.2
Frankfurt;Alexander Meier;FW;;FW;30;bis 30;196;84;21.86588921;normal;31;7.38;1;1.4;2;-;1.8;0.5;0.1;-;16;3;2.8;0.9;0.5;0.9;0.7;1.5;1.4;3;0.9;36.6;74.6;-;3.2;0.1
Mainz;Christian Wetklo;GK;;GK;33;bis 35;190;90;24.93074792;normal;31;6.71;-;0.1;-;-;1.1;0.1;-;1;-;-;-;-;0.1;0.3;-;-;-;-;-;26.7;59.5;-;7.4;-
Bayern;Manuel Neuer;GK;;GK;27;bis 30;193;92;24.69864963;normal;31;6.9;-;-;-;-;0.6;-;-;-;-;-;-;-;-;0.2;-;-;-;-;-;20.8;74.7;-;4.6;-
Nürnberg;Raphael Schäfer;GK;;GK;34;bis 35;190;92;25.48476454;overweight;31;6.9;0.1;-;-;-;1.1;0.1;-;1;-;-;-;-;0.1;0.2;-;-;-;-;-;19.7;64.6;-;5.8;-
