Verein;Name;Pos;Spec;PosSpec;Age;Age group;cm;kg;BMI;BMI Zone;Apps;Rt;Tackle;I;F;OW;Clr;Drb;BS;OG;G;A;SpG;KP;Drb;F;Off;Dis;Trn;A;KP;Avg P;PS%;C;LB;TB
Nürnberg;Timo Gebhart;AM;R;AM(R);24;bis 26;182;83;25.05736022;overweight;12(6);6.8;1.8;0.6;2.8;0.1;0.3;0.9;0.1;-;2;1;1.2;0.7;2.8;3.3;0.2;2.8;1.8;1;0.7;19.4;75.7;0.2;0.9;0.1
Freiburg;Karim Guédé;AM;C;AM(C);28;bis 30;184;85;25.1063327;overweight;12(9);6.37;1;0.4;2;-;0.3;0.4;-;-;1;1;1;0.4;0.8;1;1;1.4;0.8;1;0.4;12;64;-;0.1;-
Freiburg;Karim Guédé;FW;;FW;28;bis 30;184;85;25.1063327;overweight;12(9);6.37;1;0.4;2;-;0.3;0.4;-;-;1;1;1;0.4;0.8;1;1;1.4;0.8;1;0.4;12;64;-;0.1;-
Bayern;Xherdan Shaqiri;AM;C;AM(C);21;bis 26;169;72;25.20920136;overweight;13(13);7.18;0.5;0.4;0.8;-;0.1;0.6;-;-;4;5;1.5;1.5;1.9;1;0.2;0.9;0.7;5;1.5;30.2;86.1;1.4;2.4;0.2
Bayern;Xherdan Shaqiri;AM;C;AM(C);21;bis 26;169;72;25.20920136;overweight;13(13);7.18;0.5;0.4;0.8;-;0.1;0.6;-;-;4;5;1.5;1.5;1.9;1;0.2;0.9;0.7;5;1.5;30.2;86.1;1.4;2.4;0.2
Bayern;Xherdan Shaqiri;AM;L;AM(L);21;bis 26;169;72;25.20920136;overweight;13(13);7.18;0.5;0.4;0.8;-;0.1;0.6;-;-;4;5;1.5;1.5;1.9;1;0.2;0.9;0.7;5;1.5;30.2;86.1;1.4;2.4;0.2
Bayern;Xherdan Shaqiri;AM;R;AM(R);21;bis 26;169;72;25.20920136;overweight;13(13);7.18;0.5;0.4;0.8;-;0.1;0.6;-;-;4;5;1.5;1.5;1.9;1;0.2;0.9;0.7;5;1.5;30.2;86.1;1.4;2.4;0.2
Gladbach;Mike Hanke;FW;;FW;29;bis 30;185;85;24.83564646;normal;13(19);6.57;0.5;0.6;0.7;-;0.3;0.5;0.1;-;4;2;1;0.7;0.7;0.5;0.3;0.9;0.8;2;0.7;18.2;68.7;0.1;0.3;0.2
Düsseldorf;Juanan;D;C;D(C);26;bis 30;192;87;23.60026042;normal;13(2);6.48;1.9;1.5;0.6;0.7;4.7;0.3;0.8;1;-;-;0.3;0.1;-;0.1;-;-;0.3;-;0.1;35.5;83.1;-;3.8;-
Fürth;Matthias Zimmermann;D;R;D(R);21;bis 26;178;78;24.61810377;normal;13(2);6.67;3;2;1.3;0.1;1.8;2.1;0.3;-;1;1;0.7;0.6;0.7;0.5;-;0.6;0.5;1;0.6;26.7;72.6;0.3;0.9;0.1
Wolfsburg;Josué;DM;C;DM(C);34;bis 35;170;66;22.83737024;normal;13(3);6.69;3.8;3.1;2.7;0.1;1.2;2.1;0.1;-;-;1;0.2;0.2;0.4;0.8;-;1.2;0.3;1;0.2;39.3;88.6;-;3.8;0.1
Mainz;Radoslav Zabavník;D;L;D(L);32;bis 35;180;78;24.07407407;normal;13(4);6.7;1.8;2.9;1.8;0.1;1.9;0.8;0.2;-;-;1;0.1;0.4;0.9;0.4;0.1;0.8;0.5;1;0.4;21.9;73.7;0.2;1;-
Mainz;Radoslav Zabavník;D;R;D(R);32;bis 35;180;78;24.07407407;normal;13(4);6.7;1.8;2.9;1.8;0.1;1.9;0.8;0.2;-;-;1;0.1;0.4;0.9;0.4;0.1;0.8;0.5;1;0.4;21.9;73.7;0.2;1;-
Gladbach;Lukas Rupp;M;R;M(R);22;bis 26;178;73;23.0400202;normal;13(8);6.47;1.7;1.5;0.8;-;0.6;1.4;-;-;-;1;0.6;0.4;0.7;0.4;-;1.7;0.7;1;0.4;17.7;71.5;0.1;0.4;-
Mainz;Marco Caligiuri;M;C;M(C);29;bis 30;180;75;23.14814815;normal;13(9);6.65;1.7;0.7;0.5;0.1;1.2;0.5;0.1;-;1;-;0.5;0.5;0.9;1;-;1.1;1;-;0.5;21.2;75.8;0.3;0.8;-
Mainz;Marco Caligiuri;D;L;D(L);29;bis 30;180;75;23.14814815;normal;13(9);6.65;1.7;0.7;0.5;0.1;1.2;0.5;0.1;-;1;-;0.5;0.5;0.9;1;-;1.1;1;-;0.5;21.2;75.8;0.3;0.8;-
Mainz;Marco Caligiuri;M;L;M(L);29;bis 30;180;75;23.14814815;normal;13(9);6.65;1.7;0.7;0.5;0.1;1.2;0.5;0.1;-;1;-;0.5;0.5;0.9;1;-;1.1;1;-;0.5;21.2;75.8;0.3;0.8;-
Mainz;Marco Caligiuri;D;R;D(R);29;bis 30;180;75;23.14814815;normal;13(9);6.65;1.7;0.7;0.5;0.1;1.2;0.5;0.1;-;1;-;0.5;0.5;0.9;1;-;1.1;1;-;0.5;21.2;75.8;0.3;0.8;-
Fürth;Nikola Djurdjic;FW;;FW;27;bis 30;186;75;21.6788068;normal;14(1);6.79;1.3;0.7;2.2;-;0.1;1.6;-;-;5;1;1.7;1.1;0.8;2.7;1.5;1.9;2.1;1;1.1;21.1;68.5;-;0.6;0.1
Düsseldorf;Ken Ilsö;AM;C;AM(C);26;bis 30;182;77;23.24598478;normal;14(13);6.42;0.7;0.3;0.7;-;0.1;0.4;-;-;2;1;1.1;0.4;0.6;1.4;-;0.8;0.5;1;0.4;14.6;81.2;0.4;0.5;-
Fürth;Zoltan Stieber;AM;L;AM(L);24;bis 26;175;67;21.87755102;normal;14(2);6.72;1.6;1.1;1.3;-;0.2;1.1;0.1;-;3;1;1.1;1.4;0.9;0.5;0.5;1.2;0.7;1;1.4;22.3;70.3;1.3;0.9;-
Hoffenheim;Jannik Vestergaard;D;C;D(C);20;bis 20;199;96;24.24181208;normal;14(2);6.8;2.1;2.1;0.6;1;5.1;1.2;1.1;-;-;-;0.1;0.1;0.3;0.4;-;0.2;0.2;-;0.1;34.7;71.7;-;3.3;-
Hannover;Andre Hoffmann;DM;C;DM(C);20;bis 20;188;84;23.76641014;normal;14(2);6.63;2.6;1.3;1.7;0.1;1.8;2;0.4;-;2;-;0.4;0.3;-;0.5;-;0.3;0.3;-;0.3;35.9;81.5;-;3.8;-
Fürth;Milorad Pekovic;DM;C;DM(C);35;bis 35;189;88;24.63536855;normal;14(4);6.57;2.6;2.3;2.4;-;1.2;1.3;0.1;-;-;-;0.6;0.2;0.8;1.1;-;1;0.3;-;0.2;29.4;72.8;-;2.1;-
Hoffenheim;Sejad Salihovic;M;C;M(C);28;bis 30;182;79;23.8497766;normal;14(6);6.82;1.5;0.9;1;0.1;0.5;0.7;-;-;7;2;2.1;1.1;1;2.2;0.4;1.9;0.6;2;1.1;35;79.8;0.6;2.6;0.1
Augsburg;Marcel de Jong;D;L;D(L);26;bis 30;174;73;24.11150746;normal;14(6);6.79;2.2;1.8;1.2;0.3;1.8;0.9;0.4;-;1;1;1.1;0.5;1.1;1;-;0.4;0.7;1;0.5;25;69.3;0.6;2.5;-
Hoffenheim;Sejad Salihovic;M;L;M(L);28;bis 30;182;79;23.8497766;normal;14(6);6.82;1.5;0.9;1;0.1;0.5;0.7;-;-;7;2;2.1;1.1;1;2.2;0.4;1.9;0.6;2;1.1;35;79.8;0.6;2.6;0.1
Hannover;Manuel Schmiedebach;D;R;D(R);24;bis 26;170;70;24.22145329;normal;14(7);6.68;2.3;2;1.4;-;0.8;1.7;0.4;-;-;1;0.2;0.4;0.4;2.5;0.1;1.5;0.7;1;0.4;28.8;76.5;-;1.3;-
Hannover;Manuel Schmiedebach;DM;C;DM(C);24;bis 26;170;70;24.22145329;normal;14(7);6.68;2.3;2;1.4;-;0.8;1.7;0.4;-;-;1;0.2;0.4;0.4;2.5;0.1;1.5;0.7;1;0.4;28.8;76.5;-;1.3;-
Stuttgart;Raphael Holzhauser;M;C;M(C);20;bis 20;193;85;22.81940455;normal;14(7);6.51;1.6;0.7;1.1;-;0.4;1;-;-;-;2;1.3;0.7;0.8;1.2;-;1.3;0.7;2;0.7;22.1;77.2;0.9;1.7;0.1
Hoffenheim;Koen Casteels;GK;;GK;21;bis 26;196;84;21.86588921;normal;15(1);6.47;-;0.1;0.1;0.1;0.7;0.3;-;-;-;-;-;-;-;0.2;-;-;-;-;-;20.3;66.4;-;7;-
Hamburg;Per Skjelbred;AM;C;AM(C);26;bis 30;175;74;24.16326531;normal;15(3);6.76;2.7;1.5;1.1;-;0.4;1.3;0.1;-;-;-;0.4;1.1;1.1;0.6;0.1;1.3;0.9;-;1.1;31.9;82.2;0.1;1.4;0.1
Mainz;Junior Diaz;D;L;D(L);29;bis 30;185;76;22.20598977;normal;15(3);6.95;2.3;1.4;1.5;0.3;2.8;0.9;0.2;-;1;3;0.2;0.7;0.6;1.2;0.2;0.9;0.6;3;0.7;32.9;70.8;0.7;1.8;0.1
Hamburg;Per Skjelbred;AM;R;AM(R);26;bis 30;175;74;24.16326531;normal;15(3);6.76;2.7;1.5;1.1;-;0.4;1.3;0.1;-;-;-;0.4;1.1;1.1;0.6;0.1;1.3;0.9;-;1.1;31.9;82.2;0.1;1.4;0.1
Hoffenheim;Takashi Usami;AM;L;AM(L);21;bis 26;178;70;22.09317005;normal;15(5);6.86;1.7;1;0.6;-;0.3;1.6;-;-;2;-;1.4;1.1;2.3;0.9;0.2;1.2;0.7;-;1.1;19.5;76.3;0.6;0.8;0.1
Dortmund;Sven Bender;DM;C;DM(C);24;bis 26;185;72;21.03725347;normal;15(5);7.04;3.7;2.4;1.2;0.1;1.1;1.5;0.2;-;1;-;0.4;0.4;0.6;0.7;-;0.8;0.4;-;0.4;42.8;82.9;0.1;3.5;0.1
Dortmund;Felipe Santana;D;C;D(C);27;bis 30;194;80;21.25624402;normal;15(6);6.98;2.3;2;0.6;1;4.6;0.7;0.4;-;1;-;0.6;-;0.2;0.4;-;0.2;0.2;-;-;41.6;83.5;-;3.2;-
Gladbach;Roel Brouwers;D;C;D(C);31;bis 35;192;81;21.97265625;normal;15(6);6.75;1.2;1.1;0.7;0.8;5.9;0.6;0.6;1;1;1;0.4;0.2;0.3;0.4;-;0.1;-;1;0.2;38.9;90.2;-;4.1;-
Gladbach;Granit Xhaka;AM;C;AM(C);20;bis 20;185;82;23.95909423;normal;15(7);6.81;1.9;1;1.5;-;1.1;1.1;0.2;-;1;-;1;0.6;1.5;1;0.1;1.4;0.5;-;0.6;39.2;81.2;0.2;2.8;0.1
Schalke;Marco Höger;D;R;D(R);23;bis 26;186;78;22.54595907;normal;15(7);6.82;1.5;1.8;1.3;-;0.6;1.1;-;-;3;2;0.7;0.4;1;1;0.1;1.6;0.7;2;0.4;37.4;80.1;0.1;1.5;0.1
Schalke;Marco Höger;DM;C;DM(C);23;bis 26;186;78;22.54595907;normal;15(7);6.82;1.5;1.8;1.3;-;0.6;1.1;-;-;3;2;0.7;0.4;1;1;0.1;1.6;0.7;2;0.4;37.4;80.1;0.1;1.5;0.1
Düsseldorf;Stefan Reisinger;AM;R;AM(R);31;bis 35;185;86;25.12783053;overweight;15(9);6.46;0.4;0.4;0.6;-;0.2;0.3;0.1;-;7;-;0.9;0.3;0.8;1.1;0.5;1.5;0.7;-;0.3;9.6;70.9;-;0.2;-
Düsseldorf;Stefan Reisinger;FW;;FW;31;bis 35;185;86;25.12783053;overweight;15(9);6.46;0.4;0.4;0.6;-;0.2;0.3;0.1;-;7;-;0.9;0.3;0.8;1.1;0.5;1.5;0.7;-;0.3;9.6;70.9;-;0.2;-
Freiburg;Pavel Krmas;D;C;D(C);33;bis 35;193;86;23.08786813;normal;16(1);7.13;2.1;2.4;1.6;0.3;4.4;0.3;0.6;-;2;-;0.4;0.2;0.2;1.1;0.2;0.1;0.4;-;0.2;36.3;82;0.1;2.2;-
Düsseldorf;Leon Balogun;D;R;D(R);25;bis 26;190;81;22.43767313;normal;16(1);7.3;4.6;3.4;1.2;0.1;3.4;1.5;0.1;-;-;1;0.2;0.6;1.2;0.9;0.2;0.9;0.5;1;0.6;26.1;65.1;0.8;1.3;-
Augsburg;Paul Verhaegh;D;R;D(R);29;bis 30;178;72;22.72440348;normal;16(1);7;2.2;1.8;0.8;0.2;2.7;0.9;0.4;-;-;1;0.2;0.9;1.1;0.8;-;0.5;0.2;1;0.9;36.7;80.6;0.8;3.1;0.2
Düsseldorf;Dani Schahin;FW;;FW;24;bis 26;187;82;23.44934084;normal;16(15);6.61;0.5;0.3;1.6;-;0.2;0.3;-;-;8;-;1.5;0.6;1.1;1.2;0.5;1.4;1.9;-;0.6;16.3;72;-;0.2;-
Fürth;Heinrich Schmidtgal;D;L;D(L);27;bis 30;174;78;25.76298058;overweight;16(2);6.85;3.3;2.3;1.4;0.1;2.2;1.7;0.1;-;-;1;0.6;0.8;1.5;1.6;-;1.3;0.6;1;0.8;33.1;72.1;0.7;2.2;-
Gladbach;Filip Daems;D;C;D(C);34;bis 35;181;79;24.11403803;normal;16(3);6.83;2.3;1.6;1;0.4;2.9;0.7;0.2;-;1;-;0.1;0.3;0.6;0.8;-;0.9;0.6;-;0.3;32.8;83.5;0.4;1.4;-
Gladbach;Filip Daems;D;L;D(L);34;bis 35;181;79;24.11403803;normal;16(3);6.83;2.3;1.6;1;0.4;2.9;0.7;0.2;-;1;-;0.1;0.3;0.6;0.8;-;0.9;0.6;-;0.3;32.8;83.5;0.4;1.4;-
Augsburg;Jan Moravek;AM;C;AM(C);23;bis 26;180;75;23.14814815;normal;16(5);6.87;3.4;1.5;1.8;-;0.6;2.4;-;-;1;2;0.9;1;0.9;0.8;-;1.6;0.9;2;1;26.6;82.6;-;1.2;0.2
Bayern;Luiz Gustavo;D;C;D(C);26;bis 30;187;80;22.8774057;normal;16(6);7.08;2.5;1.5;1.7;-;0.3;1.4;0.1;-;4;1;0.6;0.3;0.7;1.7;-;1.4;0.3;1;0.3;42.7;93;0.1;3.7;0.1
Hannover;Karim Haggui;D;C;D(C);29;bis 30;190;86;23.82271468;normal;16(6);6.67;1.1;1.5;1.2;1.3;5.7;0.7;0.5;-;1;-;0.5;-;-;0.6;0.1;0.1;0.1;-;-;26.7;79.6;-;1.4;-
Bayern;Luiz Gustavo;DM;C;DM(C);26;bis 30;187;80;22.8774057;normal;16(6);7.08;2.5;1.5;1.7;-;0.3;1.4;0.1;-;4;1;0.6;0.3;0.7;1.7;-;1.4;0.3;1;0.3;42.7;93;0.1;3.7;0.1
Bayern;Luiz Gustavo;D;L;D(L);26;bis 30;187;80;22.8774057;normal;16(6);7.08;2.5;1.5;1.7;-;0.3;1.4;0.1;-;4;1;0.6;0.3;0.7;1.7;-;1.4;0.3;1;0.3;42.7;93;0.1;3.7;0.1
Hannover;Lars Stindl;M;C;M(C);24;bis 26;180;78;24.07407407;normal;17(1);7.05;2.4;2.2;1.7;0.2;1.4;2.3;0.1;1;2;3;1.2;1.1;1.6;1.5;0.2;2;1.2;3;1.1;42.5;74.8;0.6;1.9;0.2
Hoffenheim;Tobias Weis;DM;C;DM(C);27;bis 30;170;67;23.183391;normal;17(1);6.78;2.3;1.8;2.7;-;0.5;1.7;0.3;-;2;3;1.6;0.7;1;1.7;0.1;1.7;1;3;0.7;27.4;78.1;0.1;1.6;0.2
Hannover;Lars Stindl;M;R;M(R);24;bis 26;180;78;24.07407407;normal;17(1);7.05;2.4;2.2;1.7;0.2;1.4;2.3;0.1;1;2;3;1.2;1.1;1.6;1.5;0.2;2;1.2;3;1.1;42.5;74.8;0.6;1.9;0.2
Düsseldorf;Tobias Levels;D;R;D(R);26;bis 30;186;81;23.41311134;normal;17(2);6.83;2.5;2.1;1.5;0.3;2.6;0.9;0.2;-;-;1;0.3;0.7;0.6;1.6;0.1;0.8;0.3;1;0.7;39.3;79;0.6;3.7;0.1
Bremen;Aleksandar Ignjovski;D;L;D(L);22;bis 26;175;68;22.20408163;normal;17(3);7.12;4.4;2.7;1.3;0.1;1.9;2.1;0.2;-;1;2;0.7;0.5;1.1;2.1;-;1.1;0.8;2;0.5;32.5;79.2;0.4;2.8;0.1
Bremen;Aleksandar Ignjovski;DM;C;DM(C);22;bis 26;175;68;22.20408163;normal;17(3);7.12;4.4;2.7;1.3;0.1;1.9;2.1;0.2;-;1;2;0.7;0.5;1.1;2.1;-;1.1;0.8;2;0.5;32.5;79.2;0.4;2.8;0.1
Bremen;Aleksandar Ignjovski;D;R;D(R);22;bis 26;175;68;22.20408163;normal;17(3);7.12;4.4;2.7;1.3;0.1;1.9;2.1;0.2;-;1;2;0.7;0.5;1.1;2.1;-;1.1;0.8;2;0.5;32.5;79.2;0.4;2.8;0.1
Hoffenheim;Daniel Williams;D;R;D(R);24;bis 26;182;79;23.8497766;normal;17(4);6.61;2;2.5;1.9;-;1.2;1;0.1;-;1;-;0.5;0.4;0.5;1.3;-;0.8;0.5;-;0.4;30.1;81.4;-;3.1;-
Hoffenheim;Daniel Williams;DM;C;DM(C);24;bis 26;182;79;23.8497766;normal;17(4);6.61;2;2.5;1.9;-;1.2;1;0.1;-;1;-;0.5;0.4;0.5;1.3;-;0.8;0.5;-;0.4;30.1;81.4;-;3.1;-
Bremen;Assani Lukimya;D;C;D(C);27;bis 30;190;89;24.65373961;normal;17(5);6.59;1.9;1.7;1.1;1;4.5;0.5;0.4;-;1;-;0.3;-;0.5;0.6;-;0.3;0.3;-;-;34.8;82.6;-;2.3;-
Nürnberg;Markus Feulner;D;R;D(R);31;bis 35;181;82;25.029761;overweight;17(6);6.7;2.2;1;1.9;-;0.7;0.9;0.1;-;4;2;1.4;0.6;0.7;2.1;0.1;2.7;1.3;2;0.6;21.5;74.3;0.4;1.4;-
Gladbach;Luuk de Jong;FW;;FW;22;bis 26;188;86;24.33227705;normal;17(6);6.83;0.9;0.5;1;0.1;1;0.5;0.1;-;6;2;1.3;0.8;1.1;0.8;0.5;2.5;1.6;2;0.8;22.4;72.9;-;0.3;-
Nürnberg;Markus Feulner;M;C;M(C);31;bis 35;181;82;25.029761;overweight;17(6);6.7;2.2;1;1.9;-;0.7;0.9;0.1;-;4;2;1.4;0.6;0.7;2.1;0.1;2.7;1.3;2;0.6;21.5;74.3;0.4;1.4;-
Fürth;Lasse Sobiech;D;C;D(C);22;bis 26;196;88;22.90712203;normal;17(7);6.75;1.6;1.7;1.3;0.6;4.5;0.5;0.9;-;2;-;0.4;0.3;0.1;0.3;-;0.1;0.2;-;0.3;26;73.7;-;2.3;-
Hoffenheim;Joselu;FW;;FW;23;bis 26;191;80;21.92922343;normal;17(8);6.7;0.5;0.2;0.9;-;1;0.5;0.2;-;5;2;2.1;0.4;0.8;1.4;0.8;2.2;1.3;2;0.4;20.6;71.3;0.1;0.9;-
Schalke;Lewis Holtby;M;C;M(C);22;bis 26;176;72;23.24380165;normal;18(1);7.32;2.5;0.8;1.7;-;0.1;1.4;0.3;-;4;7;1.6;1.5;1.4;1.2;0.1;2.2;1.2;7;1.5;37.9;81;0.4;2.2;0.5
Hannover;Christian Schulz;D;C;D(C);30;bis 30;185;80;23.37472608;normal;18(1);6.75;2.3;2.4;2;0.9;4.9;1.4;0.4;1;1;-;0.4;-;0.1;0.7;0.1;0.5;0.2;-;-;36.6;79.3;-;1.8;-
Schalke;Lewis Holtby;M;C;M(C);22;bis 26;176;72;23.24380165;normal;18(1);7.32;2.5;0.8;1.7;-;0.1;1.4;0.3;-;4;7;1.6;1.5;1.4;1.2;0.1;2.2;1.2;7;1.5;37.9;81;0.4;2.2;0.5
Hannover;Christian Schulz;DM;C;DM(C);30;bis 30;185;80;23.37472608;normal;18(1);6.75;2.3;2.4;2;0.9;4.9;1.4;0.4;1;1;-;0.4;-;0.1;0.7;0.1;0.5;0.2;-;-;36.6;79.3;-;1.8;-
Schalke;Lewis Holtby;M;L;M(L);22;bis 26;176;72;23.24380165;normal;18(1);7.32;2.5;0.8;1.7;-;0.1;1.4;0.3;-;4;7;1.6;1.5;1.4;1.2;0.1;2.2;1.2;7;1.5;37.9;81;0.4;2.2;0.5
Hannover;Christian Schulz;D;L;D(L);30;bis 30;185;80;23.37472608;normal;18(1);6.75;2.3;2.4;2;0.9;4.9;1.4;0.4;1;1;-;0.4;-;0.1;0.7;0.1;0.5;0.2;-;-;36.6;79.3;-;1.8;-
Schalke;Lewis Holtby;M;R;M(R);22;bis 26;176;72;23.24380165;normal;18(1);7.32;2.5;0.8;1.7;-;0.1;1.4;0.3;-;4;7;1.6;1.5;1.4;1.2;0.1;2.2;1.2;7;1.5;37.9;81;0.4;2.2;0.5
Freiburg;Jan Rosenthal;AM;C;AM(C);27;bis 30;186;76;21.96785756;normal;18(2);7.12;1.3;0.6;1.1;-;0.4;0.5;-;-;4;3;1.7;1.2;1.8;1.3;0.4;1.7;1.5;3;1.2;28.2;73;0.3;1.5;0.2
Freiburg;Jan Rosenthal;AM;C;AM(C);27;bis 30;186;76;21.96785756;normal;18(2);7.12;1.3;0.6;1.1;-;0.4;0.5;-;-;4;3;1.7;1.2;1.8;1.3;0.4;1.7;1.5;3;1.2;28.2;73;0.3;1.5;0.2
Fürth;Abdul Rahman Baba;D;L;D(L);19;bis 20;179;70;21.84700852;normal;18(2);6.93;3.8;2.6;1.1;0.2;1.6;1.5;0.3;-;-;-;0.2;0.5;1;1.2;0.2;1.1;0.6;-;0.5;27.8;69.2;0.5;1.9;-
Freiburg;Jan Rosenthal;FW;;FW;27;bis 30;186;76;21.96785756;normal;18(2);7.12;1.3;0.6;1.1;-;0.4;0.5;-;-;4;3;1.7;1.2;1.8;1.3;0.4;1.7;1.5;3;1.2;28.2;73;0.3;1.5;0.2
Freiburg;Jan Rosenthal;AM;L;AM(L);27;bis 30;186;76;21.96785756;normal;18(2);7.12;1.3;0.6;1.1;-;0.4;0.5;-;-;4;3;1.7;1.2;1.8;1.3;0.4;1.7;1.5;3;1.2;28.2;73;0.3;1.5;0.2
Freiburg;Jan Rosenthal;AM;R;AM(R);27;bis 30;186;76;21.96785756;normal;18(2);7.12;1.3;0.6;1.1;-;0.4;0.5;-;-;4;3;1.7;1.2;1.8;1.3;0.4;1.7;1.5;3;1.2;28.2;73;0.3;1.5;0.2
Augsburg;Ja-Cheol Koo;AM;C;AM(C);24;bis 26;183;75;22.39541342;normal;18(3);7.1;1.2;1.2;1;-;0.6;1.2;0.1;-;3;2;1.9;1.5;2.3;1.3;0.1;2.4;1;2;1.5;34.5;82.9;1.3;2.6;0.2
Augsburg;Ja-Cheol Koo;AM;R;AM(R);24;bis 26;183;75;22.39541342;normal;18(3);7.1;1.2;1.2;1;-;0.6;1.2;0.1;-;3;2;1.9;1.5;2.3;1.3;0.1;2.4;1;2;1.5;34.5;82.9;1.3;2.6;0.2
Bremen;Clemens Fritz;D;R;D(R);32;bis 35;183;81;24.18704649;normal;18(4);6.72;2.9;2.2;1.4;0.2;2.3;1.4;0.3;-;-;-;0.3;0.2;0.4;2.2;-;1;0.6;-;0.2;31.5;72.3;0.2;2.2;-
Bremen;Clemens Fritz;DM;C;DM(C);32;bis 35;183;81;24.18704649;normal;18(4);6.72;2.9;2.2;1.4;0.2;2.3;1.4;0.3;-;-;-;0.3;0.2;0.4;2.2;-;1;0.6;-;0.2;31.5;72.3;0.2;2.2;-
Dortmund;Kevin Großkreutz;M;L;M(L);25;bis 26;186;72;20.81165453;normal;19(10);6.76;2.1;1;0.7;0.1;0.4;1;0.1;-;2;4;0.7;0.5;0.4;0.3;0.1;0.7;0.7;4;0.5;23.6;81.8;0.3;0.9;-
Dortmund;Kevin Großkreutz;M;R;M(R);25;bis 26;186;72;20.81165453;normal;19(10);6.76;2.1;1;0.7;0.1;0.4;1;0.1;-;2;4;0.7;0.5;0.4;0.3;0.1;0.7;0.7;4;0.5;23.6;81.8;0.3;0.9;-
Hannover;Szabolcs Huszti;M;L;M(L);30;bis 30;173;72;24.05693475;normal;19(2);7.46;2.9;1.4;2.4;0.1;0.3;1.3;0.1;-;9;9;1.1;2.4;1.3;2.5;0.1;2.8;1;9;2.4;25.7;72.9;2.2;1;0.1
Fürth;Thomas Kleine;D;C;D(C);35;bis 35;191;82;22.47745402;normal;19(3);6.45;1.3;1.1;0.8;0.4;5.6;1.4;0.5;1;-;-;0.6;0.1;0.1;1;-;-;0.2;-;0.1;29;76.5;-;3.3;-
Dortmund;Sebastian Kehl;DM;C;DM(C);33;bis 35;188;80;22.63467632;normal;19(3);6.86;2.6;1.5;1.3;-;1.1;1;0.1;-;-;1;0.4;0.5;0.4;0.7;0.1;0.6;0.5;1;0.5;46.5;83.9;-;2.8;0.2
Fürth;Felix Klaus;AM;R;AM(R);20;bis 20;179;79;24.65590962;normal;19(5);6.6;1.5;0.8;1.4;-;0.7;1.3;0.1;-;2;1;1.1;0.5;1.3;2.2;0.3;1.3;0.9;1;0.5;14.9;70.9;0.3;0.3;-
Wolfsburg;Ricardo Rodriguez;D;L;D(L);20;bis 20;180;72;22.22222222;normal;19(5);7.09;2.1;2.3;1.7;0.4;2.5;0.5;0.1;1;-;5;0.8;1.2;1.2;1.3;0.1;1.1;0.4;5;1.2;32.9;80.3;1.3;3.5;0.1
Stuttgart;Cristian Molinaro;D;L;D(L);29;bis 30;182;82;24.75546432;normal;19(6);6.89;2.3;2.6;1.6;0.1;2.4;0.6;0.5;-;-;1;0.2;0.6;0.9;1;0.1;0.5;0.8;1;0.6;35.6;76.7;0.8;2;-
Hamburg;Tolgay Arslan;M;C;M(C);22;bis 26;180;77;23.7654321;normal;19(6);6.82;2.1;1.8;2;-;0.4;1.2;0.1;-;-;1;0.4;0.8;1.7;1.6;-;1.6;0.8;1;0.8;37.7;84.3;0.3;2.5;0.1
Nürnberg;Mike Frantz;AM;C;AM(C);26;bis 30;180;79;24.38271605;normal;19(8);6.5;1.6;0.6;1.6;0.1;0.4;1.1;-;-;1;-;0.9;0.4;1.1;1.6;0.1;1.2;1;-;0.4;14.7;74.1;0.4;1;0.1
Nürnberg;Mike Frantz;AM;C;AM(C);26;bis 30;180;79;24.38271605;normal;19(8);6.5;1.6;0.6;1.6;0.1;0.4;1.1;-;-;1;-;0.9;0.4;1.1;1.6;0.1;1.2;1;-;0.4;14.7;74.1;0.4;1;0.1
Nürnberg;Alexander Esswein;AM;L;AM(L);23;bis 26;183;85;25.38146854;overweight;19(8);6.68;0.7;0.8;0.7;-;0.1;0.8;0.1;-;2;1;1.3;1;1.9;1.8;0.3;1.2;1;1;1;18;71.8;0.3;0.6;-
Bayern;Javi Martínez;D;C;D(C);24;bis 26;190;81;22.43767313;normal;19(8);7.38;2.3;1.9;1.6;-;1;0.9;0.1;-;3;3;0.7;0.4;0.8;1.1;0.2;0.6;0.4;3;0.4;42.6;87.7;0.1;3;0.1
Nürnberg;Alexander Esswein;FW;;FW;23;bis 26;183;85;25.38146854;overweight;19(8);6.68;0.7;0.8;0.7;-;0.1;0.8;0.1;-;2;1;1.3;1;1.9;1.8;0.3;1.2;1;1;1;18;71.8;0.3;0.6;-
Bayern;Javi Martínez;M;C;M(C);24;bis 26;190;81;22.43767313;normal;19(8);7.38;2.3;1.9;1.6;-;1;0.9;0.1;-;3;3;0.7;0.4;0.8;1.1;0.2;0.6;0.4;3;0.4;42.6;87.7;0.1;3;0.1
Nürnberg;Mike Frantz;AM;L;AM(L);26;bis 30;180;79;24.38271605;normal;19(8);6.5;1.6;0.6;1.6;0.1;0.4;1.1;-;-;1;-;0.9;0.4;1.1;1.6;0.1;1.2;1;-;0.4;14.7;74.1;0.4;1;0.1
Nürnberg;Mike Frantz;AM;R;AM(R);26;bis 30;180;79;24.38271605;normal;19(8);6.5;1.6;0.6;1.6;0.1;0.4;1.1;-;-;1;-;0.9;0.4;1.1;1.6;0.1;1.2;1;-;0.4;14.7;74.1;0.4;1;0.1
